年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2021/08/10,47.5,48.0,46.1,46.8,203.0,9510.0,-6.4,0.6767,207.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/11,46.25,46.25,45.05,45.5,182.0,8290.0,-2.7778,0.6067,183.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/12,45.05,45.95,45.05,45.9,43.0,1964.0,0.8791,0.1433,37.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/13,45.9,45.9,45.2,45.25,29.0,1318.0,-1.4161,0.0967,29.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/16,45.25,45.25,45.0,45.0,40.0,1822.0,-0.5525,0.1333,44.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/17,44.2,44.5,44.2,44.25,65.0,2882.0,-1.6667,0.2167,63.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/18,44.2,44.45,43.5,43.65,41.0,1821.0,-1.3559,0.1367,42.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/19,43.5,43.5,42.65,42.75,68.0,2951.0,-2.0619,0.2267,75.0,-8.0,0.0,0.0,-8.0,,,,,,,,,
2021/08/20,42.8,43.25,42.7,43.25,50.0,2176.0,1.1696,0.1667,27.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/23,42.6,42.9,42.5,42.55,29.0,1259.0,-1.6185,0.0967,30.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/24,42.55,42.55,42.45,42.5,37.0,1578.0,-0.1175,0.1233,27.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/25,42.55,42.55,42.45,42.5,43.0,1870.0,0.0,0.1433,36.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/26,42.5,42.9,42.5,42.55,30.0,1279.0,0.1176,0.1,18.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/27,42.65,43.0,42.65,42.9,7.0,300.0,0.8226,0.0233,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/30,42.9,42.9,42.75,42.8,6.0,256.0,-0.2331,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/08/31,42.8,43.0,42.65,42.75,13.0,556.0,-0.1168,0.0433,14.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/01,42.75,43.2,42.75,43.1,23.0,990.0,0.8187,0.0767,20.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/02,43.1,43.1,42.9,43.0,40.0,1722.0,-0.232,0.1333,16.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/03,43.0,43.2,43.0,43.1,8.0,370.0,0.2326,0.0267,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/06,43.0,43.0,42.95,43.0,22.0,954.0,-0.232,0.0733,22.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/07,43.1,43.65,43.1,43.65,29.0,1261.0,1.5116,0.0967,17.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/08,43.5,43.65,43.5,43.6,50.0,2178.0,-0.1145,0.1667,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/09,43.1,43.6,43.1,43.6,62.0,2695.0,0.0,0.2067,10.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/10,43.6,43.6,43.5,43.6,4.0,174.0,0.0,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/13,43.75,43.75,43.7,43.7,4.0,174.0,0.2294,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/14,43.65,43.85,43.65,43.85,5.0,218.0,0.3432,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/15,43.75,43.85,43.65,43.7,20.0,874.0,-0.3421,0.0667,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/16,43.65,43.75,43.65,43.75,15.0,655.0,0.1144,0.05,15.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/17,43.7,43.9,43.7,43.85,15.0,657.0,0.2286,0.05,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/22,43.7,43.7,43.65,43.65,14.0,611.0,-0.4561,0.0467,14.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/23,43.7,43.75,43.7,43.75,2.0,93.0,0.2291,0.0067,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/24,43.65,43.7,43.65,43.7,7.0,310.0,-0.1143,0.0233,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/27,43.75,44.0,43.7,43.8,16.0,701.0,0.2288,0.0533,15.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/28,43.8,44.2,43.8,44.2,4.0,176.0,0.9132,0.0133,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/29,44.05,44.05,44.0,44.0,10.0,440.0,-0.4525,0.0333,9.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/09/30,44.05,44.3,44.0,44.3,7.0,309.0,0.6818,0.0233,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/01,44.05,44.3,44.05,44.05,10.0,441.0,-0.5643,0.0333,9.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/04,44.05,44.05,44.0,44.0,21.0,928.0,-0.1135,0.07,15.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/05,44.0,44.15,44.0,44.15,6.0,264.0,0.3409,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/06,44.1,44.1,44.1,44.1,1.0,44.0,-0.1133,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/07,44.05,44.25,44.05,44.25,7.0,323.0,0.3401,0.0233,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/08,44.15,44.25,44.15,44.25,8.0,358.0,0.0,0.0267,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/12,44.25,44.3,44.25,44.3,5.0,221.0,0.113,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/13,44.3,44.3,44.3,44.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/14,44.3,44.3,44.3,44.3,2.0,88.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/15,44.5,44.5,44.5,44.5,5.0,222.0,0.4515,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/18,44.45,44.9,44.35,44.9,22.0,980.0,0.8989,0.0733,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/19,45.0,45.0,45.0,45.0,6.0,270.0,0.2227,0.02,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/20,45.0,45.0,45.0,45.0,2.0,90.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/21,45.0,45.0,45.0,45.0,10.0,452.0,0.0,0.0333,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/22,45.0,45.05,45.0,45.0,4.0,180.0,0.0,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/25,45.0,45.0,44.8,44.95,10.0,480.0,-0.1111,0.0333,12.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/26,44.95,44.95,44.9,44.9,5.0,224.0,-0.1112,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/27,44.8,44.8,44.7,44.7,5.0,254.0,-0.4454,0.0167,12.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/28,44.8,44.85,44.75,44.75,6.0,289.0,0.1119,0.02,17.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/10/29,44.6,44.7,44.5,44.7,5.0,227.0,-0.1117,0.0167,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/01,44.55,44.55,44.5,44.55,5.0,223.0,-0.3356,0.0167,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/02,44.5,44.5,44.4,44.4,6.0,285.0,-0.3367,0.02,9.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/03,44.3,44.4,44.3,44.4,5.0,248.0,0.0,0.0167,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/04,44.1,44.3,44.1,44.3,3.0,132.0,-0.2252,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/05,44.3,44.35,44.25,44.25,6.0,278.0,-0.1129,0.02,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/08,44.2,44.2,44.2,44.2,4.0,199.0,-0.113,0.0133,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/09,44.25,44.25,44.2,44.2,5.0,221.0,0.0,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/10,44.05,44.15,44.05,44.15,5.0,220.0,-0.1131,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/11,44.15,44.15,44.15,44.15,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/12,44.25,44.25,44.2,44.2,5.0,221.0,0.1133,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/15,44.2,44.2,44.2,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/16,44.25,44.25,44.15,44.15,7.0,309.0,-0.1131,0.0233,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/17,44.15,44.15,44.15,44.15,4.0,194.0,0.0,0.0133,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/18,44.15,44.15,44.1,44.1,9.0,416.0,-0.1133,0.03,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/19,44.1,44.1,44.1,44.1,10.0,456.0,0.0,0.0333,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/22,44.1,44.1,44.1,44.1,4.0,176.0,0.0,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/23,44.2,44.2,44.1,44.1,6.0,264.0,0.0,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/24,44.05,44.1,44.05,44.1,10.0,440.0,0.0,0.0333,10.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/25,44.1,44.1,44.1,44.1,6.0,264.0,0.0,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/26,44.1,44.1,44.0,44.0,5.0,220.0,-0.2268,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/29,43.85,43.85,43.8,43.8,7.0,306.0,-0.4545,0.0233,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/11/30,43.85,43.85,43.8,43.85,3.0,131.0,0.1142,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/01,43.85,43.9,43.85,43.9,7.0,313.0,0.114,0.0233,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/02,43.9,43.9,43.9,43.9,1.0,43.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/03,43.9,43.9,43.85,43.9,5.0,219.0,0.0,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/06,44.0,44.0,44.0,44.0,1.0,50.0,0.2278,0.0033,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/07,44.0,44.0,44.0,44.0,5.0,220.0,0.0,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/08,44.0,44.0,43.95,44.0,5.0,219.0,0.0,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/09,44.0,44.0,43.95,44.0,5.0,219.0,0.0,0.0167,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/10,44.0,44.0,43.95,43.95,3.0,150.0,-0.1136,0.01,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/13,44.0,44.0,44.0,44.0,5.0,222.0,0.1138,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/14,44.0,44.1,44.0,44.0,11.0,484.0,0.0,0.0367,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/15,44.05,44.05,44.05,44.05,2.0,88.0,0.1136,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/16,44.05,44.05,44.05,44.05,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/17,44.05,44.05,44.0,44.05,8.0,352.0,0.0,0.0267,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/20,44.05,44.1,44.05,44.1,3.0,132.0,0.1135,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/21,44.1,44.1,44.1,44.1,2.0,88.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/22,44.1,44.1,44.0,44.05,6.0,264.0,-0.1134,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/23,44.05,44.2,44.0,44.2,364.0,16016.0,0.3405,1.2133,12.0,0.0,0.0,-360.0,-360.0,,,,,,,,,
2021/12/24,44.9,44.9,44.05,44.5,7.0,309.0,0.6787,0.0233,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/27,44.3,44.5,44.15,44.15,3.0,132.0,-0.7865,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/28,44.15,44.3,44.15,44.15,6.0,265.0,0.0,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/29,44.1,44.15,44.05,44.15,6.0,264.0,0.0,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/30,44.1,44.15,44.05,44.05,5.0,220.0,-0.2265,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/03,44.05,44.05,44.0,44.0,4.0,176.0,-0.1135,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/04,44.0,44.05,44.0,44.05,5.0,220.0,0.1136,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/05,44.1,44.1,44.1,44.1,4.0,176.0,0.1135,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/06,44.15,44.15,44.1,44.1,3.0,132.0,0.0,0.01,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/07,44.1,44.1,44.1,44.1,2.0,88.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/10,44.2,44.2,44.15,44.15,4.0,176.0,0.1134,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/11,44.15,44.15,44.15,44.15,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/12,44.1,44.85,44.1,44.2,23.0,1027.0,0.1133,0.0767,14.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/13,44.2,44.2,44.2,44.2,8.0,353.0,0.0,0.0267,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/14,44.2,44.2,44.2,44.2,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/17,44.2,44.2,44.2,44.2,5.0,221.0,0.0,0.0167,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/18,44.2,44.2,44.2,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/19,44.2,44.3,44.2,44.3,5.0,221.0,0.2262,0.0167,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/20,44.3,44.3,44.25,44.25,2.0,88.0,-0.1129,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/21,44.25,44.25,44.25,44.25,6.0,269.0,0.0,0.02,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/24,44.2,44.2,44.2,44.2,3.0,132.0,-0.113,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/25,44.05,44.05,44.05,44.05,2.0,88.0,-0.3394,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/01/26,44.0,44.0,44.0,44.0,5.0,220.0,-0.1135,0.0167,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/07,44.0,44.0,44.0,44.0,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/08,44.05,44.05,44.05,44.05,2.0,88.0,0.1136,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/09,44.05,44.05,44.05,44.05,3.0,132.0,0.0,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/10,44.05,44.05,44.05,44.05,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/11,44.05,44.2,44.05,44.2,3.0,132.0,0.3405,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/14,44.1,44.1,44.05,44.1,4.0,176.0,-0.2262,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/15,44.1,44.1,44.0,44.1,10.0,440.0,0.0,0.0333,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/16,44.2,44.2,44.2,44.2,2.0,88.0,0.2268,0.0067,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/17,44.25,44.25,44.25,44.25,5.0,221.0,0.1131,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/18,44.4,44.55,44.4,44.55,5.0,235.0,0.678,0.0167,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/21,44.55,44.55,44.3,44.3,5.0,235.0,-0.5612,0.0167,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/22,44.35,44.35,44.35,44.35,6.0,269.0,0.1129,0.02,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/23,44.4,44.4,44.35,44.35,2.0,88.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/24,44.35,44.35,44.2,44.2,14.0,619.0,-0.3382,0.0467,10.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/02/25,44.3,44.3,44.3,44.3,1.0,44.0,0.2262,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/01,44.05,44.1,44.05,44.05,5.0,220.0,-0.5643,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/02,44.05,44.2,44.05,44.2,2.0,94.0,0.3405,0.0067,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/03,44.2,44.3,44.2,44.3,5.0,221.0,0.2262,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/04,44.3,44.3,44.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/07,44.3,44.3,44.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/08,44.05,44.05,43.55,43.65,16.0,701.0,-1.4673,0.0533,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/09,44.0,44.0,44.0,44.0,2.0,88.0,0.8018,0.0067,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/10,44.0,44.2,44.0,44.2,2.0,88.0,0.4545,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/11,44.05,44.2,44.05,44.2,8.0,353.0,0.0,0.0267,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/14,44.2,44.2,44.2,44.2,3.0,132.0,0.0,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/15,44.2,44.2,44.0,44.0,12.0,529.0,-0.4525,0.04,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/16,44.0,44.0,44.0,44.0,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/17,44.05,44.05,44.05,44.05,2.0,88.0,0.1136,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/18,44.05,44.05,44.05,44.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/21,44.05,44.1,44.05,44.1,3.0,132.0,0.1135,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/22,44.1,44.15,44.1,44.1,3.0,132.0,0.0,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/23,44.05,44.05,44.05,44.05,2.0,88.0,-0.1134,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/24,44.05,44.05,44.05,44.05,3.0,132.0,0.0,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/25,44.05,44.1,44.05,44.1,5.0,220.0,0.1135,0.0167,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/28,44.2,44.2,44.1,44.15,6.0,274.0,0.1134,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/29,44.2,44.2,44.2,44.2,6.0,265.0,0.1133,0.02,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/30,44.2,44.2,44.15,44.15,8.0,353.0,-0.1131,0.0267,4.0,0.0,-7.0,0.0,-7.0,,,,,,,,,
2022/03/31,44.2,44.2,44.15,44.2,11.0,486.0,0.1133,0.0367,11.0,0.0,-8.0,0.0,-8.0,,,,,,,,,
2022/04/01,44.2,44.3,44.2,44.3,9.0,398.0,0.2262,0.03,9.0,0.0,-7.0,0.0,-7.0,,,,,,,,,
2022/04/06,44.2,44.2,44.2,44.2,1.0,62.0,-0.2257,0.0033,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/07,44.2,44.2,44.2,44.2,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/08,44.2,44.2,44.2,44.2,1.0,44.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/11,44.2,44.2,44.2,44.2,6.0,265.0,0.0,0.02,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/12,44.2,44.2,44.2,44.2,2.0,88.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/13,44.15,44.15,44.15,44.15,4.0,176.0,-0.1131,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/14,44.1,44.2,44.1,44.2,2.0,88.0,0.1133,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/15,44.2,44.2,44.2,44.2,14.0,622.0,0.0,0.0467,16.0,0.0,-10.0,0.0,-10.0,,,,,,,,,
2022/04/18,44.15,44.2,44.15,44.2,13.0,574.0,0.0,0.0433,13.0,0.0,-10.0,0.0,-10.0,,,,,,,,,
2022/04/19,44.15,44.2,44.15,44.2,4.0,176.0,0.0,0.0133,3.0,0.0,-2.0,0.0,-2.0,,,,,,,,,
2022/04/20,44.2,44.2,44.2,44.2,12.0,530.0,0.0,0.04,12.0,0.0,-10.0,0.0,-10.0,,,,,,,,,
2022/04/21,44.2,44.2,44.2,44.2,6.0,265.0,0.0,0.02,6.0,0.0,-5.0,0.0,-5.0,,,,,,,,,
2022/04/22,44.2,44.2,44.2,44.2,3.0,132.0,0.0,0.01,3.0,0.0,-1.0,0.0,-1.0,,,,,,,,,
2022/04/25,44.0,44.1,44.0,44.1,5.0,220.0,-0.2262,0.0167,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/26,43.65,43.9,43.65,43.9,4.0,175.0,-0.4535,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/27,43.9,43.95,43.9,43.95,12.0,527.0,0.1139,0.04,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/28,43.9,43.9,43.9,43.9,5.0,256.0,-0.1138,0.0167,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/29,43.9,43.9,43.9,43.9,1.0,43.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/03,43.9,43.9,43.9,43.9,2.0,87.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/04,43.9,43.9,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/05,43.9,43.9,43.9,43.9,3.0,137.0,0.0,0.01,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/06,43.9,43.9,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/09,43.9,43.9,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/10,43.9,43.9,43.9,43.9,2.0,87.0,0.0,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/11,43.8,43.8,43.55,43.55,2.0,87.0,-0.7973,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/12,43.7,43.8,43.7,43.7,4.0,174.0,0.3444,0.0133,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/13,43.7,43.85,43.7,43.85,2.0,87.0,0.3432,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/16,43.75,43.75,43.75,43.75,1.0,43.0,-0.2281,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/17,43.75,43.75,43.75,43.75,1.0,43.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/18,43.75,43.95,43.65,43.65,7.0,306.0,-0.2286,0.0233,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/19,43.7,43.7,43.6,43.6,3.0,131.0,-0.1145,0.01,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/20,43.65,43.65,43.65,43.65,1.0,43.0,0.1147,0.0033,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/23,43.7,43.7,43.7,43.7,2.0,87.0,0.1145,0.0067,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/24,43.7,43.7,43.7,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/25,43.75,43.75,43.75,43.75,2.0,87.0,0.1144,0.0067,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/26,43.75,44.0,43.75,44.0,3.0,156.0,0.5714,0.01,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/27,44.0,44.0,44.0,44.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/30,44.0,44.0,44.0,44.0,1.0,53.0,0.0,0.0033,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/31,44.05,44.05,44.05,44.05,3.0,144.0,0.1136,0.01,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/01,44.15,44.2,44.15,44.2,2.0,88.0,0.3405,0.0067,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
